,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
919608a3-37e5-4217-81ab-8141d7cc9060,28378,317,589,805,3700,-12600,-21900,-289,-261,-299,1046.63,39.72,61.71
561fb500-3fce-43ea-8a2d-3d5c1fe0b701,28397,627,291,686,-111400,-90000,7000,-283,-262,-306,973.86,45.22,24.9
828d9aa9-63b5-4b7c-b661-e9d8b7d076cb,28416,-1754,219,-614,497000,1064400,-979300,-490,282,-86,1871.22,109.16,172.88
350662da-3cf9-42e4-8921-28a00e6582c1,28434,-959,43,-581,45700,180300,-57300,-144,243,350,1122.09,121.18,177.43
f178d1b9-575d-44b7-983b-82209b8bc2c9,28453,-174,-200,-793,-16700,27300,-5800,-88,65,361,836.14,161.51,-131.02
5cf9f500-5697-4a81-9775-552b683c42b6,28472,-874,241,-940,-231100,-228200,226100,-168,109,359,1305.97,136.04,164.58
4f38a75c-3a36-45e0-b4fe-2a5cfea6f957,28491,1108,-1140,-134,-265200,-111900,633700,-307,-288,-59,1595.37,94.82,-45.82
57edcf86-c35e-43d4-8165-b6257628cd71,28509,279,161,315,-44100,261300,-55600,-207,-346,-197,450.54,45.64,29.99
9cc59f98-bc78-4d30-a3ff-fa6cacf01855,28528,-869,1835,1779,630700,730500,-34500,-502,92,-195,2699.49,48.78,115.34
4f2590f8-e86d-4b16-96aa-dc7591803d24,28553,702,-240,-128,10200,160400,160200,-85,-363,40,752.85,99.79,-18.87
2230ae23-25dc-42c9-bfd8-c1a7e9aafa9f,28572,-1594,1504,114,-748300,-1086700,512500,-363,17,239,2194.5,87.02,136.66
a3fc99ab-38c4-4b36-83d1-504ba1a0770f,28591,292,204,-149,209000,202900,211100,-364,-187,115,386.11,112.7,34.94
696a9c4d-ffbe-4ce1-8c93-0cb03a30f389,28609,702,-537,1588,-67700,261700,-675900,-402,-220,-183,1817.39,29.1,-37.41
3853953b-37bf-48ad-b857-608c8fc274d9,28628,-1998,-1006,-1819,484700,513000,-852300,-36,451,229,2883.19,129.12,-153.27
d03c4d68-e9e9-4996-b091-54488aea9d0e,28647,-1434,-885,-828,-205300,433700,-54800,41,-25,335,1877.54,116.17,-148.32
8529bb70-10f2-4612-a080-644d87db059b,28666,761,-1088,459,-694700,69900,273600,-105,-412,-54,1404.83,70.93,-55.03
ed472305-b7ac-4bdb-9280-41d112ff547a,28691,886,-366,-97,-544400,-196700,60000,-199,-316,101,963.51,95.78,-22.45
3a8456ef-3567-4371-a243-de5844e79b5c,28709,561,-256,779,-273300,107200,-133000,-336,-277,-143,993.53,38.36,-24.53
2cc5bb4c-cd6d-4445-a584-f3ae07f4c611,28728,-607,13,1998,-150900,-54400,-486200,-406,112,-368,2088.21,16.9,178.77
82240750-41aa-4c46-bc3f-77724fb95962,28747,-1998,778,619,-31800,215300,-53600,-256,523,-119,2231.69,73.9,158.72
7895c480-2d33-46b0-a00e-fa561f7de51c,28766,-961,-210,1427,49000,593200,469900,-439,-21,146,1733.19,34.58,-167.67
413c66e2-b399-4f78-b8c5-9e203c29afec,28784,1601,-690,1245,39800,215600,254300,123,-393,-173,2142.27,54.47,-23.32
9a57578b-9dfd-4201-a075-838732426af8,28803,-232,-575,714,-156600,-368900,-525900,-345,-265,30,945.65,40.97,-111.97
