,ticks,raw_i,raw_j,raw_k,norm_w,norm_i,norm_j,norm_k,roll,pitch,yaw
713e445b-2abc-4a5c-b24b-a9662bcc0b59,-15210,333,-4004,7121,0.02,0.04,-0.49,0.87,-58.72,-5.11,-179.57
ac0d3bb1-0e1f-4413-9039-e7d4151cd625,-15191,1702,-6613,4168,0.02,0.21,-0.83,0.52,-118.16,-14.61,-159.92
50120b39-f952-424c-b7c6-122a40b9be02,-15173,2103,-7852,4833,0.02,0.22,-0.83,0.51,-119.59,-14.95,-158.75
2705f966-d35d-4a6a-ab8f-d23dd1417a79,-15153,1926,-8337,3142,0.02,0.21,-0.91,0.34,-140.74,-10.33,-157.68
88eba22c-db06-4080-8294-5a1bf2a3e9b9,-15134,289,-8516,588,0.02,0.03,-1.0,0.07,-172.18,-2.37,-176.27
55e8f487-68d9-492a-8886-f0f50c374d44,-15115,-2237,-8477,-199,0.02,-0.26,-0.97,-0.02,178.02,-2.7,150.48
75f4dd4c-88bd-465b-8e77-3ee8258c6682,-15096,-4302,-7375,-2354,0.02,-0.49,-0.83,-0.27,153.67,-16.78,123.44
8e3a9b72-4b03-4ade-b20b-1c77836ca725,-15075,-5766,-6353,-1973,0.02,-0.65,-0.72,-0.22,161.58,-18.65,98.6
20a89341-7e24-49fd-96ae-c56799193184,-15056,-5349,-5854,-1209,0.02,-0.67,-0.73,-0.15,168.41,-13.15,96.5
5f1a9a4d-1611-4484-b824-9f53e86ac6bd,-15038,-5600,-7102,580,0.02,-0.62,-0.78,0.06,-172.94,2.9,103.67
a104020d-371a-4ca3-b441-58429d1ff374,-15016,-5301,-6664,-621,0.02,-0.62,-0.78,-0.07,174.74,-6.81,103.31
6dac0a8c-51cc-48ce-b24c-7cf0b3f5d5e6,-14998,-5176,-7723,819,0.02,-0.55,-0.83,0.09,-170.47,3.86,112.66
b0475498-fa2a-473d-99da-61f5b02557dd,-14984,-5272,-6840,-888,0.02,-0.61,-0.79,-0.1,171.9,-8.78,105.38
c4d22c7e-e742-454d-b406-884a36dd68c3,-14960,-5321,-7081,-462,0.02,-0.6,-0.8,-0.05,176.46,-5.23,106.32
2c30f927-c545-4d4c-aea4-e61f22709d22,-14941,-6632,-6552,-921,0.02,-0.71,-0.7,-0.1,173.48,-9.45,89.84
602fd6cb-dcdf-4e4f-9bc5-3c653c89ccc4,-14921,-6718,-4697,-3404,0.02,-0.76,-0.53,-0.38,151.77,-36.82,79.49
0a056e3e-0295-4b7c-b395-6c0a18f22cb7,-14900,-5611,-7549,-2937,0.02,-0.57,-0.77,-0.3,152.04,-21.51,112.17
832f8419-73f3-4c81-b4ef-a470c9bac7de,-14881,-551,8401,3816,0.02,-0.06,0.91,0.41,131.36,4.68,-174.61
cf3bcf7d-5a39-4580-bc73-a5251f31c146,-14864,-2804,7772,3536,0.02,-0.31,0.86,0.39,135.87,16.03,-146.86
e2b28852-b517-4ad8-a626-5934021c162e,-14844,-2096,8711,982,0.02,-0.23,0.97,0.11,168.29,4.87,-153.44
a5628c78-ed57-4404-9a55-3c4e7fa8737b,-14824,-413,8680,-2403,0.02,-0.05,0.96,-0.27,-149.02,0.55,-174.4
06933b49-1b71-49a3-a7cf-dd6cfc8b2da9,-14805,-114,9003,-3562,0.02,-0.01,0.93,-0.37,-136.8,1.38,-178.0
f96351ae-d2ba-4ba1-9b1a-eeb4015430fe,-14785,-1300,7528,-4762,0.02,-0.14,0.84,-0.53,-116.31,-7.08,-164.81
2a93f2d3-9995-4569-89a5-17b7a959eff7,-14765,-1956,6890,-5299,0.02,-0.22,0.77,-0.59,-107.48,-13.53,-158.25
347dcb08-77f8-467e-b568-b8ee3ae549bb,-14746,-2426,6758,-5445,0.02,-0.27,0.75,-0.6,-106.4,-17.4,-153.56
4b5faced-1fc0-4df8-8cad-b5e3f92e7c1f,-14729,-2472,6911,-5185,0.02,-0.28,0.77,-0.58,-110.42,-16.88,-152.41
823103c7-bc05-4fd9-8818-6803575ef6e5,-14713,-3277,7332,-5345,0.02,-0.34,0.76,-0.55,-114.31,-20.47,-145.14
997a46c1-0d91-462f-a348-e71fde4ce3dc,-14700,-2844,7491,-5323,0.02,-0.3,0.78,-0.55,-113.95,-17.46,-149.82
357a4bc8-4d02-4ae3-9eb1-6381f12e7031,-14659,-2238,6740,-6369,0.02,-0.23,0.71,-0.67,-96.49,-16.77,-158.26
13614463-e774-419e-a1e0-55377e1b4191,-14640,1625,4969,-7923,0.02,0.17,0.52,-0.83,-65.6,17.69,170.93
4c629ef4-a2d1-4256-b4fa-4d5bd922809d,-14623,709,3651,-9050,0.02,0.07,0.37,-0.92,-44.04,8.45,178.72
cae0dc4a-bd19-42f5-8367-20038f243b79,-14603,-1507,2160,-9631,0.02,-0.15,0.22,-0.96,-26.14,-16.48,-174.1
1c414218-6d46-4fe5-9559-d91d9f36f281,-14581,3726,-1172,8861,0.02,0.38,-0.12,0.91,-17.15,-45.08,-175.0
edde353a-0401-4f17-9672-89b8b40906b5,-14563,5779,-1323,6824,0.02,0.64,-0.15,0.75,-54.86,-75.92,-138.52
94b35818-5e68-423a-82f7-185c3220f266,-14545,1540,-753,9786,0.02,0.15,-0.08,0.98,-8.7,-17.93,179.38
e992941e-df56-4ea4-ba92-e465f7b5cadd,-14526,936,1964,-9480,0.02,0.1,0.2,-0.97,-23.44,11.21,179.68
d72b9247-6c84-4700-9482-ab38b42ef805,-14509,-1048,3131,-9431,0.02,-0.1,0.31,-0.94,-37.27,-10.79,-174.28
c94c2209-f069-40b5-bf70-9fcfb221689b,-14486,68,3792,-8987,0.02,0.01,0.39,-0.92,-45.73,1.5,-178.51
4a6d4162-2c44-4c4f-99fd-80687b064dbd,-14466,-554,3597,-9108,0.02,-0.06,0.37,-0.93,-43.3,-5.3,-175.8
0c93c4ac-61da-4f68-8a8b-5058d690c8b2,-14448,-769,3546,-9159,0.02,-0.08,0.36,-0.93,-42.67,-7.64,-174.92
6924d886-f38b-4f4b-8b50-eeef36354561,-14432,2333,-3656,8971,0.02,0.23,-0.37,0.9,-46.41,-25.72,-170.98
0e75d7bf-370a-4541-92dc-4c284a3380b5,-14411,1284,1799,-8008,0.02,0.15,0.22,-0.96,-25.65,17.77,177.93
14d358fd-86f7-40ed-b441-fe5e36b7199e,-14400,1365,884,-7957,0.02,0.17,0.11,-0.98,-12.72,19.45,179.79
c0b80376-4d16-49f0-bb0d-30f95ce6ba47,-14365,-166,716,-9115,0.02,-0.02,0.08,-1.0,-9.02,-1.92,-177.91
d7db8035-d02f-4efb-8924-13d16bdfafaa,-14346,1897,-640,-7350,0.02,0.25,-0.08,-0.96,11.19,28.53,-175.15
39162980-af28-4924-9ecb-13971faebd49,-14328,-1210,2111,-9658,0.02,-0.12,0.21,-0.97,-25.23,-13.2,-175.05
fa803eec-721a-4709-a058-a46a459d4762,-14307,-321,654,-9183,0.02,-0.03,0.07,-1.0,-8.22,-3.85,-177.8
d60144a5-bee1-4a05-9f13-7785a732dba5,-14290,1116,-1577,-7056,0.02,0.15,-0.22,-0.96,26.06,16.68,-174.13
db0e6bcc-8581-4b90-9e51-c0c203e8ddbb,-14271,2260,-2744,-6934,0.02,0.29,-0.35,-0.89,47.46,30.28,-164.28
a3cea6f7-07bb-478f-8992-1bc3d754eae5,-14250,5076,-3445,-5886,0.02,0.6,-0.41,-0.69,94.04,54.39,-119.5
8dafbbaa-d489-4204-a4d2-1d59c061e3d5,-14229,6557,-3815,-5435,0.02,0.7,-0.41,-0.58,122.75,53.57,-91.19
4f6a1d06-1bdc-4b53-883b-fb7726b4c2b0,-14210,2374,-4296,-8380,0.02,0.24,-0.44,-0.86,57.61,24.02,-164.45
eab73169-72f7-4e62-b2b7-e47c4f042e1d,-14190,856,-4421,-8833,0.02,0.09,-0.45,-0.89,53.61,7.99,-173.83
8d8adb05-6616-4d1e-8ae5-308256343999,-14171,-1358,-4956,-8495,0.02,-0.14,-0.5,-0.86,61.34,-14.51,173.58
65437340-5587-437d-bb8a-dc14c00b9e0e,-14154,2379,-3705,-8963,0.02,0.24,-0.37,-0.9,47.78,24.54,-166.89
56a22567-894b-47df-b92e-4d5d81d641f6,-14134,2048,-3293,-9008,0.02,0.21,-0.34,-0.92,42.21,21.87,-169.42
eb173ce6-9531-4d10-b02b-44b0d34a5321,-14113,1123,-2429,-9413,0.02,0.11,-0.25,-0.96,29.5,12.27,-174.8
60b00140-58ef-4ca1-ba13-1a5bc7c1ac59,-14095,1113,-1932,-9273,0.02,0.12,-0.2,-0.97,24.06,12.72,-175.35
3ecc694d-83c9-4005-8c0f-edbf0123be24,-14076,30,-1194,-9131,0.02,0.0,-0.13,-0.99,14.9,0.13,-178.09
ae65794e-c21c-4652-8960-ce31e8dc0678,-14056,-1749,1032,-9391,0.02,-0.18,0.11,-0.98,-13.33,-20.62,-175.65
379bf4e2-ad59-485a-b2c8-4bd347e70f82,-14036,-2887,1698,-9366,0.02,-0.29,0.17,-0.94,-23.16,-32.74,-171.13
6f64d053-d743-4e5a-b5ee-27aad8048406,-14018,-3406,3282,-8721,0.02,-0.34,0.33,-0.88,-47.37,-36.35,-161.5
9837ae72-9323-431d-ac8b-c4fc941824e3,-13998,-3466,5633,-7404,0.02,-0.35,0.57,-0.75,-82.52,-30.15,-150.92
a7eb5c21-bf47-4dfa-98c0-a34c470177ac,-13978,-3475,7120,-5575,0.02,-0.36,0.73,-0.58,-111.48,-22.89,-143.67
d9ec376f-fd86-4789-ad71-5299d3aa2566,-13959,-3667,7711,-4955,0.02,-0.37,0.78,-0.5,-121.92,-20.34,-140.51
c6fdaa13-d754-4c12-813a-b665cbbf8632,-13946,3196,-7739,5466,0.02,0.32,-0.77,0.55,-115.69,-21.98,-149.04
dc67c5fe-7c24-43b2-955f-7ebfed94d2fa,-13945,3109,-7767,5467,0.02,0.31,-0.78,0.55,-115.53,-21.43,-149.98
8c82b558-638d-458a-bb3c-2d8167c439f1,-13900,2279,-9015,3672,0.02,0.23,-0.9,0.37,-138.09,-11.33,-155.98
b2a96571-4ea4-4e4b-958d-c3a0389f432a,-13881,-2407,9002,-2840,0.02,-0.25,0.92,-0.29,-146.62,-6.57,-152.03
fda818b0-d7ad-4f3c-b489-1aec00487487,-13861,-1595,9342,-2766,0.02,-0.16,0.95,-0.28,-147.57,-3.45,-161.63
583f1975-d4c1-4a09-9690-f6fd9cd68f45,-13845,-3444,9378,-90,0.02,-0.34,0.94,-0.01,-178.4,1.37,-139.65
1a391262-7ebb-407f-bc6c-81915aacd194,-13823,3910,-8448,-3047,0.02,0.4,-0.86,-0.31,145.73,12.75,-134.27
8aa8656c-c394-4d99-89b4-19539ecc2c34,-13803,-673,-7512,-5661,0.02,-0.07,-0.8,-0.6,106.3,-6.38,174.54
867b7fee-6418-4b52-bc22-8a3539a07486,-13784,2399,-6923,-6511,0.02,0.24,-0.71,-0.66,97.06,17.61,-157.37
57c34ebb-197d-4dc1-b54f-0f20147c9e5e,-13764,1227,-6480,-7104,0.02,0.13,-0.67,-0.73,85.67,9.45,-168.75
75afbe5e-59b0-4bb8-82a6-1a7ef5a15913,-13745,375,-5819,-7681,0.02,0.04,-0.6,-0.8,74.38,2.45,-175.86
c480eeaf-4ca3-46a8-ab79-42730ee21ec2,-13726,906,-5068,-8159,0.02,0.09,-0.53,-0.85,64.21,8.17,-172.72
15fe230d-83ae-4df0-aa51-e92b61a1c2df,-13707,325,-4624,-8411,0.02,0.03,-0.48,-0.88,57.68,2.53,-176.54
f89cb305-a3ee-4c6d-a821-f2a383ca4315,-13686,-1984,-3642,-8457,0.02,-0.21,-0.39,-0.9,48.31,-22.97,171.6
37cdea7b-cc74-4de1-9b81-37cc933e3c7f,-13668,-3955,-2683,-8150,0.02,-0.42,-0.28,-0.86,44.3,-46.97,162.03
dcebfa2b-b3fe-4b3f-86e5-6940b7ec913c,-13649,-5304,-2064,-7972,0.02,-0.54,-0.21,-0.81,45.09,-62.6,153.88
2c65afc7-522c-4714-88c8-d299876a982d,-13629,-6235,-1536,-7628,0.02,-0.63,-0.15,-0.76,51.69,-74.02,142.23
39a473cc-c516-475a-9f12-9ce16b48aac3,-13610,-4428,-1234,-8506,0.02,-0.46,-0.13,-0.88,20.98,-54.06,171.24
afdb3c2d-51a5-4067-8b7f-07602e77290b,-13591,-3334,-1086,-8625,0.02,-0.36,-0.12,-0.93,15.96,-41.83,175.8
b407ad2e-dafd-4236-a07c-6e6f7b730958,-13573,-4037,-2126,-8558,0.02,-0.42,-0.22,-0.88,33.85,-47.84,166.65
68112e33-5292-4f44-8dc4-308ab9a730a5,-13553,-515,-648,-7889,0.02,-0.06,-0.08,-0.99,9.31,-7.56,-178.83
75ac3618-9ab7-44bc-a402-432ab500a1d8,-13534,-4054,-961,-8405,0.02,-0.43,-0.1,-0.9,15.69,-51.02,174.46
248def55-47f2-49c3-909c-ef4e2b7d8be1,-13515,-1457,1335,-7510,0.02,-0.19,0.17,-0.97,-21.23,-20.95,-174.2
227fe116-b652-4a8f-b043-a68c3cf52cf9,-13495,-1303,1352,-5820,0.02,-0.21,0.22,-0.95,-27.77,-23.49,-172.25
7813f62d-f02b-478c-81a5-871d93815349,-13485,-326,1747,-4614,0.02,-0.07,0.35,-0.93,-41.72,-6.44,-175.65
14e1af72-7e96-4ecb-b8e6-38e9f26d4203,-13470,397,901,-4447,0.02,0.09,0.2,-0.98,-22.93,10.15,179.75
1acffdc9-236b-4252-94d4-f806bd519077,-13434,4976,-2355,-4197,0.02,0.72,-0.34,-0.61,121.33,59.42,-86.21
bc6b87bd-17e1-4841-bb35-d425cc5ad123,-13418,6342,-3378,-3654,0.02,0.79,-0.42,-0.45,145.54,44.44,-70.52
7167213d-8402-4276-b857-30e316663f5a,-13399,8762,-990,-78,0.02,0.99,-0.11,-0.01,178.14,0.81,-12.91
cb68db97-51c3-4880-8373-207e12a9f1c7,-13378,9224,-741,2508,0.02,0.96,-0.08,0.26,-179.28,-30.37,-9.38
b0380be2-e48f-4afb-b455-0c57c786932f,-13356,9383,-1410,2964,0.02,0.94,-0.14,0.3,-176.12,-34.55,-18.3
f7bd0bbc-8f85-4aef-b4b4-67769e305662,-13336,-9725,2162,-837,0.02,-0.97,0.22,-0.08,-176.17,-8.99,-25.37
ea8aefa2-1f84-4f32-80a5-649a754e8e71,-13318,8614,-1689,-4400,0.02,0.88,-0.17,-0.45,163.17,51.33,-30.32
352b3f7b-e675-4468-a501-19eee0562311,-13296,-4076,-305,-6362,0.02,-0.54,-0.04,-0.84,7.05,-65.23,177.56
fcd9475b-7e7e-4933-a21e-f8746c7e1937,-13279,-3638,529,-4837,0.02,-0.6,0.09,-0.8,-30.34,-71.92,-155.56
56e9f7f4-7e98-42e1-82b5-445ea8306385,-13259,2732,1395,-4389,0.02,0.51,0.26,-0.82,-50.12,57.57,153.3
abea37ed-7260-4683-85d7-142cbdce30e5,-13239,6677,1341,-3103,0.02,0.89,0.18,-0.41,-169.5,48.17,27.42
0a2514e8-73f4-4396-8a94-88c5438b0446,-13220,9305,1212,-850,0.02,0.99,0.13,-0.09,179.61,10.49,14.81
faa36c34-abac-457b-91cb-a08f004d99aa,-13204,9931,129,1134,0.02,0.99,0.01,0.11,178.06,-13.0,1.71
0d824764-49ff-40d5-b17d-57732bcba62d,-13181,-9842,1384,-941,0.02,-0.99,0.14,-0.09,-176.75,-10.46,-16.31
592535c8-0721-43e4-9a90-8866f1ebe3f3,-13165,7719,-959,-4513,0.02,0.86,-0.11,-0.5,165.01,59.11,-22.7
0d5f81f3-4a3d-471c-987e-a17736066d7a,-13144,2124,-1527,-7744,0.02,0.26,-0.19,-0.95,24.46,29.12,-171.74
cecf3f7a-fc83-4168-93af-3f8588337c1c,-13123,-3187,-1371,-7723,0.01,-0.38,-0.16,-0.91,23.16,-43.74,172.48
5aed387e-6db2-47f9-9e6e-c0710ed91e36,-13105,-5967,-1163,-6613,0.01,-0.66,-0.13,-0.74,63.76,-79.03,128.02
cbc9bb19-d442-4e7f-bca4-8aa365cfc813,-13089,-6758,-719,-6014,0.01,-0.74,-0.08,-0.66,145.73,-81.55,41.93
c2109b54-76df-4468-a761-62bc4d3ef733,-13066,-7451,160,-5364,0.01,-0.81,0.02,-0.58,-172.01,-71.32,-8.2
15a605fe-86fa-42c6-be0a-aa359dd3288b,-13048,-8270,1242,-4628,0.01,-0.87,0.13,-0.48,-164.06,-56.5,-25.68
d106a519-2737-401b-81f9-eae6c37a3b69,-13031,-7690,1833,-5317,0.01,-0.81,0.19,-0.56,-147.64,-63.51,-47.17
383ce2e0-71aa-4669-81e5-4709b4dc75d5,-13010,-3920,3106,-6795,0.01,-0.46,0.37,-0.81,-63.88,-47.5,-147.21
ced96f70-7403-4899-a90e-5e914da655f8,-12995,-2276,2241,-7315,0.01,-0.29,0.28,-0.92,-37.57,-30.94,-167.39
0e64bc00-e448-4aa4-9b6b-be098017eeaa,-12985,-20,149,-7728,0.01,-0.0,0.02,-1.0,-2.21,-0.26,-178.3
51eaf66f-a0c6-4edd-a4cb-16b58c6ff34a,-12950,2332,-3032,-7739,0.01,0.27,-0.35,-0.9,46.39,28.28,-165.78
9b63683e-447c-478f-a1e5-bb8ef02b3826,-12929,6031,-988,-5873,0.01,0.71,-0.12,-0.69,102.22,79.24,-86.07
99d63dcd-1699-4e7c-9ba7-cc6e709bdb70,-12915,7086,-1228,-4671,0.01,0.83,-0.14,-0.54,156.06,63.61,-34.64
89b78aef-290f-4d95-99b6-8ca6bfb1be84,-12904,6817,-2271,-5058,0.01,0.78,-0.26,-0.58,136.45,62.29,-63.99
e14570c5-86b6-49ba-973a-1e986e4b1c75,-12870,6518,-4780,-4994,0.01,0.69,-0.5,-0.53,129.16,44.93,-94.74
4c29128c-0cc4-4c4f-ab9b-f7b650c05a8e,-12851,7554,-5865,-2729,0.01,0.76,-0.59,-0.27,157.83,23.54,-80.33
32c163ed-db88-4783-b3f5-32a0752c6343,-12834,-7804,5944,1922,0.01,-0.78,0.59,0.19,167.47,18.52,-76.64
f22a6053-e0db-4670-90c9-01b2b9114edb,-12821,-7720,6049,1924,0.01,-0.77,0.61,0.19,167.2,18.37,-78.24
01216d9a-8c44-42dd-af39-7f869ce148f9,-12816,-7698,6089,1887,0.01,-0.77,0.61,0.19,167.41,17.98,-78.69
cf60d53c-d8ea-403b-b3f7-041146cce51e,-12765,-4637,7574,-2437,0.01,-0.5,0.82,-0.26,-152.37,-14.03,-120.51
84c1c15d-090e-434e-af2a-5efe93e93197,-12750,-5309,5069,-1399,0.01,-0.71,0.68,-0.19,-163.53,-14.25,-89.42
0383e6ed-c120-48f6-aae3-68675c533625,-12728,-5466,1548,-1169,0.01,-0.94,0.27,-0.2,-171.63,-21.84,-33.24
2df7820b-7b7d-4228-9a0b-872df3e6977c,-12709,-3426,1198,-2632,0.01,-0.76,0.27,-0.59,-132.74,-62.78,-68.44
052ecd8f-f3ae-4a8a-a264-f5886d6e78e6,-12688,-354,1151,-5572,0.01,-0.06,0.2,-0.98,-23.52,-6.63,-176.91
62f2dab6-e2a3-48c6-baa3-55b163dfcac6,-12668,263,422,-6538,0.01,0.04,0.06,-1.0,-7.33,4.69,-178.63
bd387066-f4fd-4e6c-bd88-92ae8f71ec2f,-12653,227,-106,-6710,0.01,0.03,-0.02,-1.0,1.87,3.85,-178.27
8bdb8fb3-dd12-409d-9d2f-6a3c7ee87ca8,-12639,7,-352,-6847,0.01,0.0,-0.05,-1.0,5.89,0.03,-178.34
2aa46991-8dd1-4f91-8606-2ad6bf62848a,-12603,-40,127,-7264,0.01,-0.01,0.02,-1.0,-2.01,-0.6,-178.33
306ebaec-19fe-4d05-9f3e-03192a820bfd,-12596,-152,219,-7378,0.01,-0.02,0.03,-1.0,-3.44,-2.31,-178.27
a9da9abe-d017-4d04-a2cd-b5a0389fb621,-12559,-533,1121,-8793,0.01,-0.06,0.13,-0.99,-14.68,-6.61,-177.47
c25ec19a-5165-4785-af5f-214f7edfc5b3,-12539,348,1395,-9190,0.01,0.04,0.15,-0.99,-17.22,4.49,-179.0
c43e7daa-4133-4288-8586-29eb2e147cf5,-12521,334,1440,-9129,0.01,0.04,0.16,-0.99,-17.89,4.35,-179.01
bd355e48-5d97-4f9c-add1-1a5cfed4b683,-12505,255,1285,-7909,0.01,0.03,0.16,-0.99,-18.42,3.86,-178.95
8a1ad4f4-872e-4316-a73e-448c3b81ff63,-12484,-189,895,-6611,0.01,-0.03,0.13,-0.99,-15.47,-2.99,-177.93
058d04cb-f0b9-4c16-bb91-03ca54c6e11c,-12463,-594,985,-6176,0.01,-0.09,0.16,-0.98,-18.43,-10.45,-176.63
fec1b7a0-3610-40e8-bb35-01893c6aac9b,-12443,-390,1205,-6017,0.01,-0.06,0.2,-0.98,-22.83,-6.8,-176.95
1986fdb2-170a-4cfc-8e59-e1f06f6ee639,-12423,-388,1416,-5842,0.01,-0.06,0.24,-0.97,-27.45,-6.79,-176.65
0b04b948-f7b0-4302-a7b9-b14afa578f35,-12403,-358,1551,-5838,0.01,-0.06,0.26,-0.96,-29.94,-6.13,-176.66
ace65cfd-e9f3-426f-b8e0-c999a4886a83,-12384,-368,1636,-5873,0.01,-0.06,0.27,-0.96,-31.32,-6.21,-176.56
50d63999-b093-4f49-b0e7-779f6eeb8186,-12368,-491,1802,-6062,0.01,-0.08,0.28,-0.96,-33.4,-8.04,-175.88
9b4b1d8e-a510-466b-beef-79f90dadf4cd,-12346,-748,2388,-6629,0.01,-0.11,0.34,-0.94,-40.16,-10.83,-174.29
9f410c1e-6bb6-4a34-aae6-0e3b2e3fc5ea,-12328,-492,1963,-6923,0.01,-0.07,0.27,-0.96,-31.89,-7.08,-176.28
36d8a2b6-91a1-415a-a991-ad15ff1787f8,-12307,-557,2128,-6958,0.01,-0.08,0.29,-0.95,-34.3,-7.89,-175.86
98de9ce9-ddc8-435d-adf6-281e4999f706,-12288,-943,2347,-6477,0.01,-0.14,0.34,-0.93,-40.7,-14.07,-173.02
6b620fa4-c980-43fc-a7f1-79d4b620a04f,-12270,-1026,2354,-6039,0.01,-0.16,0.36,-0.92,-43.76,-16.11,-171.73
c8b2f898-d2d4-4840-8b69-2892765a4316,-12249,-3104,2982,-7452,0.01,-0.36,0.35,-0.87,-50.68,-37.93,-159.64
0a28c93b-d3dc-4457-8f26-3e708bb273e6,-12228,-5229,3311,-7254,0.01,-0.55,0.35,-0.76,-73.83,-55.53,-134.72
016beba2-6edf-4111-a13e-df2cfb6aa0d3,-12209,-5343,5435,-4216,0.01,-0.61,0.62,-0.48,-130.53,-35.18,-107.6
7eb4f2d3-eb98-4774-b17a-b811e8fe5345,-12190,-5997,7427,-1384,0.01,-0.62,0.77,-0.14,-166.03,-9.02,-103.27
3a163fed-1890-4e7f-996f-15eaedffa4b2,-12170,6687,-7200,1807,0.01,0.67,-0.72,0.18,-165.49,-15.2,-96.18
6b404bea-1bca-4098-8aa3-03a15ab8a33f,-12151,-4478,6146,-5405,0.01,-0.48,0.66,-0.58,-112.93,-32.52,-129.73
7cce501f-362e-4ec2-8be9-0d530db6ad8a,-12134,72,-591,-4893,0.01,0.01,-0.12,-0.99,13.8,1.47,-178.21
52ff03a6-4313-46d9-99b2-0a563e1f31c3,-12115,3438,-2714,-4303,0.01,0.56,-0.44,-0.7,91.58,50.56,-125.92
d820b02c-bcbe-4a15-80e9-5fbee57c01f7,-12109,3805,-2718,-4391,0.01,0.59,-0.42,-0.68,95.99,53.14,-119.57
a14f1214-d441-4afe-b5af-e1a88919f6e4,-12071,3260,-2337,-6301,0.01,0.44,-0.31,-0.84,51.9,46.68,-154.39
15518e4f-c275-458d-84d1-db0971fecf7c,-12053,1910,-1384,-8524,0.01,0.22,-0.16,-0.96,19.73,24.32,-174.05
8840655c-b7cb-48ef-a98b-0d36ce8fc470,-12034,-395,235,-9735,0.01,-0.04,0.02,-1.0,-2.83,-4.6,-178.29
0d0fd0fc-1cec-4c14-9ed3-e71f8caabcef,-12015,3698,-1376,9119,0.01,0.37,-0.14,0.92,-19.6,-43.38,-173.87
18d37c03-eff8-46b0-9b1f-2b9f9a6da1c3,-11994,5400,-1560,7768,0.01,0.56,-0.16,0.81,-38.4,-66.47,-156.25
3aa1fa19-50e6-4908-8f7f-4400989efbe9,-11975,5642,-1768,7341,0.01,0.6,-0.19,0.78,-52.26,-69.61,-144.38
5a9cc38a-a4b6-4891-b47b-fdca4906fbaa,-11956,3812,-2701,8744,0.01,0.38,-0.27,0.88,-40.2,-43.29,-165.27
b147b89e-34c8-4f6e-8d1c-b453f0aca596,-11941,3681,-2993,8706,0.01,0.37,-0.3,0.88,-43.79,-41.32,-164.57
3523d111-9d6f-4772-b240-cb96dc5f2ad1,-11920,626,2023,-8860,0.01,0.07,0.22,-0.97,-25.74,8.03,179.79
d4558977-e0d4-4952-b5a2-c423c943f62f,-11907,-1998,2700,-8853,0.01,-0.21,0.29,-0.93,-35.76,-22.75,-170.89
baa61f8d-581a-497a-9bfd-229ca7a422c3,-11871,-1682,3047,-8417,0.01,-0.18,0.33,-0.92,-41.36,-19.39,-170.91
ab87499f-2ad6-462b-b9d4-00af7cf89832,-11851,-1859,2977,-8347,0.01,-0.21,0.33,-0.92,-41.16,-21.68,-170.07
dacc1d88-b02b-47e7-9837-5304dd74662f,-11832,-287,2279,-8828,0.01,-0.03,0.25,-0.97,-29.02,-3.1,-177.57
521d4794-e2eb-4b19-9292-22701aa23184,-11813,-2583,2201,-9127,0.01,-0.27,0.23,-0.94,-29.65,-29.4,-170.38
67045592-8432-44cc-8a9b-83dad77694fa,-11795,2340,-1152,-5068,0.01,0.41,-0.2,-0.89,32.52,46.42,-163.98
96aebd27-54a4-4f44-b5c1-ffe4312cbeac,-11776,3461,-2667,-2673,0.01,0.68,-0.52,-0.52,129.01,43.7,-96.89
5ddf3203-4354-4d54-83d3-18bc136182d1,-11755,2377,-2181,-4340,0.01,0.44,-0.4,-0.8,66.37,43.98,-148.46
25fdc8c3-8c8b-4a1c-9501-4f30d5154e10,-11738,1668,-1860,-4252,0.01,0.34,-0.38,-0.86,53.56,34.95,-160.13
22b46b3b-7b41-4288-85a2-dc68bf576b3d,-11720,1832,-2573,-1982,0.01,0.49,-0.69,-0.53,120.2,30.22,-126.75
0da56802-1e5b-4755-bf0e-666fddf588ae,-11701,1563,-2884,-1677,0.01,0.42,-0.78,-0.46,128.95,21.4,-133.4
df1692fe-4222-4703-8770-1df618dcba50,-11678,1446,-2761,-694,0.01,0.45,-0.86,-0.22,156.79,9.98,-126.77
62e1529d-c174-486f-b986-5b1001753884,-11659,1086,-2255,1021,0.01,0.4,-0.83,0.38,-139.08,-19.03,-135.73
458f8395-da1d-4eac-9bac-c606c05e36dc,-11640,334,-1482,4761,0.01,0.07,-0.3,0.95,-34.63,-7.78,-179.2
f616d60b-624a-4bc6-be21-b756f8412a70,-11619,-2574,-1548,-925,0.01,-0.82,-0.49,-0.29,162.05,-29.69,66.84
86630e05-aaac-457e-895f-a597b3208a6d,-11601,-5156,-2352,-5679,0.01,-0.64,-0.29,-0.71,89.67,-66.57,115.91
9c3954d8-191f-4a64-9d71-d8ff0a6cf6d7,-11581,-3419,-371,223,0.01,-0.99,-0.11,0.06,-177.65,7.21,12.53
8f5d9e0c-371f-463c-a806-d5dd2ca7ea96,-11564,-482,-734,3113,0.01,-0.15,-0.23,0.96,-27.34,16.3,174.41
3bd1f39b-2b0d-48ad-9480-3204cd2ab5c4,-11543,2934,1538,2143,0.01,0.74,0.39,0.54,132.74,-52.87,79.87
1331f3e9-72a0-492b-8215-cce4172ad148,-11523,4039,1358,602,0.01,0.94,0.32,0.14,173.26,-14.72,38.04
2049cf3c-7d02-4639-b898-e46da9cd7e85,-11503,4270,-780,-1207,0.01,0.95,-0.17,-0.27,172.14,30.2,-22.83
